   1 | 02/22/2022 | 11:01:05 | System Event #0xff | PEF Action () | Asserted
   2 | 02/22/2022 | 11:01:47 | System Event #0xff | PEF Action () | Asserted
   3 | 03/04/2022 | 18:08:10 | System Event #0xff | PEF Action () | Asserted
   4 | 03/04/2022 | 18:08:53 | System Event #0xff | PEF Action () | Asserted
   5 | 03/09/2022 | 17:53:26 | System Event #0xff | PEF Action () | Asserted
   6 | 03/09/2022 | 17:53:26 | System Event #0xff | PEF Action () | Asserted
   7 | 03/09/2022 | 17:53:36 | Button #0xff | Power Button pressed () | Asserted
   8 | 03/19/2022 | 10:00:34 | System Event #0xff | PEF Action () | Asserted
   9 | 03/19/2022 | 10:01:24 | System Event #0xff | PEF Action () | Asserted
   a | 03/28/2022 | 10:01:00 | System Event #0xff | PEF Action () | Asserted
   b | 03/28/2022 | 10:01:26 | System Event #0xff | PEF Action () | Asserted
   c | 03/28/2022 | 23:01:06 | System Event #0xff | PEF Action () | Asserted
   d | 03/28/2022 | 23:01:35 | System Event #0xff | PEF Action () | Asserted
   e | 04/04/2022 | 10:00:48 | System Event #0xff | PEF Action () | Asserted
   f | 04/04/2022 | 10:01:29 | System Event #0xff | PEF Action () | Asserted
  10 | 04/13/2022 | 22:01:10 | System Event #0xff | PEF Action () | Asserted
  11 | 04/13/2022 | 22:01:45 | System Event #0xff | PEF Action () | Asserted
  12 | 04/27/2022 | 22:01:08 | System Event #0xff | PEF Action () | Asserted
  13 | 04/27/2022 | 22:01:40 | System Event #0xff | PEF Action () | Asserted
  14 | 05/06/2022 | 13:01:01 | System Event #0xff | PEF Action () | Asserted
  15 | 05/06/2022 | 13:01:36 | System Event #0xff | PEF Action () | Asserted
  16 | 05/16/2022 | 14:00:45 | System Event #0xff | PEF Action () | Asserted
  17 | 05/16/2022 | 14:01:36 | System Event #0xff | PEF Action () | Asserted
  18 | 06/09/2022 | 00:01:11 | System Event #0xff | PEF Action () | Asserted
  19 | 06/09/2022 | 00:01:33 | System Event #0xff | PEF Action () | Asserted
  1a | 06/23/2022 | 00:01:30 | System Event #0xff | PEF Action () | Asserted
  1b | 06/23/2022 | 00:01:58 | System Event #0xff | PEF Action () | Asserted
  1c | 07/08/2022 | 09:01:03 | System Event #0xff | PEF Action () | Asserted
  1d | 07/08/2022 | 09:01:33 | System Event #0xff | PEF Action () | Asserted
  1e | 07/22/2022 | 09:00:50 | System Event #0xff | PEF Action () | Asserted
  1f | 07/22/2022 | 09:01:29 | System Event #0xff | PEF Action () | Asserted
  20 | 07/23/2022 | 06:00:36 | System Event #0xff | PEF Action () | Asserted
  21 | 07/23/2022 | 06:01:12 | System Event #0xff | PEF Action () | Asserted
  22 | 08/06/2022 | 06:01:00 | System Event #0xff | PEF Action () | Asserted
  23 | 08/06/2022 | 06:01:44 | System Event #0xff | PEF Action () | Asserted
  24 | 08/20/2022 | 16:01:25 | System Event #0xff | PEF Action () | Asserted
  25 | 08/20/2022 | 16:01:53 | System Event #0xff | PEF Action () | Asserted
  26 | 09/03/2022 | 16:01:02 | System Event #0xff | PEF Action () | Asserted
  27 | 09/03/2022 | 16:02:02 | System Event #0xff | PEF Action () | Asserted
  28 | 09/08/2022 | 16:01:10 | System Event #0xff | PEF Action () | Asserted
  29 | 09/08/2022 | 16:01:38 | System Event #0xff | PEF Action () | Asserted
  2a | 09/22/2022 | 15:01:33 | System Event #0xff | PEF Action () | Asserted
  2b | 09/22/2022 | 15:02:05 | System Event #0xff | PEF Action () | Asserted
  2c | 09/24/2022 | 22:46:52 | Unknown |  | Asserted
  2d | 09/24/2022 | 22:46:53 | Unknown |  | Asserted
  2e | 09/24/2022 | 23:04:14 | Unknown |  | Asserted
  2f | 09/24/2022 | 23:04:14 | Unknown |  | Asserted
  30 | 09/24/2022 | 23:06:01 | Unknown |  | Asserted
  31 | 09/28/2022 | 10:51:49 | System Event #0xff | PEF Action () | Asserted
